time_elapsed,explained_variance,clip_range,value_loss,entropy,fps,total_timesteps,iterations,std,ep_reward_mean,policy_loss
423931.0,0.9726341255009174,0.1,11.504222,0.81670207,59.0,25116672.0,1533.0,0.552864,0.3883821262000747,0.008674229
424237.0,0.960555963218212,0.1,21.727907,0.8150021,59.0,25133056.0,1534.0,0.5518463,0.3869275862805212,0.0013182173
424501.0,0.9675948582589626,0.1,22.961035,0.8156479,59.0,25149440.0,1535.0,0.5522601,0.3857411386906159,-0.0016953698
424771.0,0.96590581163764,0.1,17.63643,0.81580526,59.0,25165824.0,1536.0,0.55252427,0.3859718830968551,0.00019489834
425023.0,0.9661873616278172,0.1,11.599602,0.8141319,59.0,25182208.0,1537.0,0.55162287,0.3838745973613162,0.0044921357
425324.0,0.9697195328772068,0.1,7.192435,0.81463563,59.0,25198592.0,1538.0,0.5519233,0.3846565402893347,0.003537395
425581.0,0.9674554355442524,0.1,9.678862,0.81554794,59.0,25214976.0,1539.0,0.5525125,0.3872802706592274,0.00069666933
425868.0,0.9738537482917308,0.1,8.643304,0.81460667,59.0,25231360.0,1540.0,0.55215347,0.3926603095727444,0.010115899
426136.0,0.965205579996109,0.1,14.51826,0.81282175,59.0,25247744.0,1541.0,0.55131763,0.397152389850721,0.0017887531
426412.0,0.9685947597026824,0.1,11.109528,0.8140556,59.0,25264128.0,1542.0,0.5521717,0.4003036834460513,0.0031717531
426695.0,0.9663471095263958,0.1,9.119092,0.81376326,59.0,25280512.0,1543.0,0.55202687,0.4018821351421371,0.0056819366
426981.0,0.9644186720252036,0.1,41.533066,0.81717795,59.0,25296896.0,1544.0,0.55383384,0.4062827961663832,0.003212153
427239.0,0.9723545406013728,0.1,8.24531,0.81627655,59.0,25313280.0,1545.0,0.5535071,0.405187944548205,0.004572221
427545.0,0.973647030070424,0.1,13.902243,0.8131111,59.0,25329664.0,1546.0,0.5519875,0.4045599541061515,0.006354641
427812.0,0.9656627401709555,0.1,9.251993,0.81352633,59.0,25346048.0,1547.0,0.5521723,0.4037620890910656,0.0033070361
428094.0,0.9680759981274604,0.1,26.565298,0.81298935,59.0,25362432.0,1548.0,0.55181617,0.403434803885788,0.0003973581
428358.0,0.955440443009138,0.1,13.075183,0.81115663,59.0,25378816.0,1549.0,0.550787,0.4071375022907174,-0.00070470385
428669.0,0.9586117640137672,0.1,16.952656,0.81222534,59.0,25395200.0,1550.0,0.5511912,0.4029051060442109,0.0030114334
428930.0,0.9644087180495262,0.1,15.063543,0.813378,59.0,25411584.0,1551.0,0.5518912,0.3985944985126456,0.0008405
429208.0,0.967347163707018,0.1,28.538269,0.8128082,59.0,25427968.0,1552.0,0.55154246,0.4008861766663824,0.007247979
